white,o,d,w,origin,destination,prob
No,Lowest Quintile,Lowest Quintile,0,1,1,.46430269
No,Lowest Quintile,Quintile 2,0,1,2,.26628509
No,Lowest Quintile,Quintile 3,0,1,3,.1477081
No,Lowest Quintile,Quintile 4,0,1,4,.081396461
No,Lowest Quintile,Highest Quintile,0,1,5,.040307634
No,Quintile 2,Lowest Quintile,0,2,1,.42567196
No,Quintile 2,Quintile 2,0,2,2,.2730265
No,Quintile 2,Quintile 3,0,2,3,.16185467
No,Quintile 2,Quintile 4,0,2,4,.092630401
No,Quintile 2,Highest Quintile,0,2,5,.04681645
No,Quintile 3,Lowest Quintile,0,3,1,.3854287
No,Quintile 3,Quintile 2,0,3,2,.27698535
No,Quintile 3,Quintile 3,0,3,3,.17686245
No,Quintile 3,Quintile 4,0,3,4,.10586283
No,Quintile 3,Highest Quintile,0,3,5,.054860663
No,Quintile 4,Lowest Quintile,0,4,1,.39494732
No,Quintile 4,Quintile 2,0,4,2,.27635393
No,Quintile 4,Quintile 3,0,4,3,.17329872
No,Quintile 4,Quintile 4,0,4,4,.10257716
No,Quintile 4,Highest Quintile,0,4,5,.052822899
No,Highest Quintile,Lowest Quintile,0,5,1,.1046304
No,Highest Quintile,Quintile 2,0,5,2,.16310102
No,Highest Quintile,Quintile 3,0,5,3,.22542426
No,Highest Quintile,Quintile 4,0,5,4,.26932025
No,Highest Quintile,Highest Quintile,0,5,5,.23752405
Yes,Lowest Quintile,Lowest Quintile,1,1,1,.3169618
Yes,Lowest Quintile,Quintile 2,1,1,2,.27519047
Yes,Lowest Quintile,Quintile 3,1,1,3,.20224763
Yes,Lowest Quintile,Quintile 4,1,1,4,.13285959
Yes,Lowest Quintile,Highest Quintile,1,1,5,.07274051
Yes,Quintile 2,Lowest Quintile,1,2,1,.22693312
Yes,Quintile 2,Quintile 2,1,2,2,.25181201
Yes,Quintile 2,Quintile 3,1,2,3,.23091075
Yes,Quintile 2,Quintile 4,1,2,4,.18001606
Yes,Quintile 2,Highest Quintile,1,2,5,.11032808
Yes,Quintile 3,Lowest Quintile,1,3,1,.16430347
Yes,Quintile 3,Quintile 2,1,3,2,.21655384
Yes,Quintile 3,Quintile 3,1,3,3,.23992571
Yes,Quintile 3,Quintile 4,1,3,4,.22298743
Yes,Quintile 3,Highest Quintile,1,3,5,.15622956
Yes,Quintile 4,Lowest Quintile,1,4,1,.098842449
Yes,Quintile 4,Quintile 2,1,4,2,.15665315
Yes,Quintile 4,Quintile 3,1,4,3,.22183757
Yes,Quintile 4,Quintile 4,1,4,4,.27347955
Yes,Quintile 4,Highest Quintile,1,4,5,.24918728
Yes,Highest Quintile,Lowest Quintile,1,5,1,.046042949
Yes,Highest Quintile,Quintile 2,1,5,2,.08515539
Yes,Highest Quintile,Quintile 3,1,5,3,.15547
Yes,Highest Quintile,Quintile 4,1,5,4,.28338298
Yes,Highest Quintile,Highest Quintile,1,5,5,.42994869
